threshold,precision,recall,f1,flagged_rate
0.1,0.12766734491574058,1.0,0.22642731562875915,1.0
0.15,0.12766734491574058,1.0,0.22642731562875915,1.0
0.2,0.12764957711183042,0.9991826726604005,0.2263784084070182,0.9993217509260709
0.25,0.1282091750841751,0.9959133633020024,0.2271731531111629,0.9917044920957896
0.3,0.13291749362064076,0.9579076420106253,0.233442884174883,0.9200709552877341
0.35,0.1476510067114094,0.8361258684102983,0.25098135426889107,0.722961339802786
0.4,0.1738305941845765,0.6742950551695954,0.2764050590501717,0.4952261699796525
0.45,0.20910569105691057,0.5255414793624846,0.29917413051064323,0.32086398497417434
0.5,0.24790537210448496,0.4111156518185533,0.30930053804765567,0.21171805707726823
0.55,0.283072546230441,0.3252962811606048,0.30271914812702033,0.14671049199144362
0.6,0.33073061907417733,0.2423375561912546,0.2797169811320755,0.09354619919653571
0.65,0.37559129612109743,0.16223947691050267,0.22659817351598174,0.0551468670110085
0.7,0.4410058027079304,0.09317531671434409,0.15384615384615385,0.02697344394010539
0.75,0.4777327935222672,0.04822231303637107,0.08760207869339272,0.012886732404653833
0.8,0.5842696629213483,0.02125051082958725,0.04100946372239748,0.004643397506130328
0.85,0.3333333333333333,0.0004086636697997548,0.0008163265306122449,0.00015651901706057285
0.9,0.0,0.0,0.0,0.0
